function_name,start_address,end_address,size_bytes
LAB_80021178,0x80021178,0x8002117C,4
LAB_80021054,0x80021054,0x8002107C,40
LAB_80021110,0x80021110,0x8002111C,12
LAB_80030914,0x80030914,0x8003097C,104
LAB_80021150,0x80021150,0x80021178,40
FUN_80021194,0x80021194,0x8002121C,136
LAB_80021234,0x80021234,0x80021294,96
LAB_80021294,0x80021294,0x800212A4,16
FUN_80027830,0x80027830,0x8002788C,92
FUN_80032128,0x80032128,0x80032160,56
LAB_80021408,0x80021408,0x80021414,12
LAB_80021414,0x80021414,0x80021470,92
LAB_80021470,0x80021470,0x80021484,20
LAB_80021484,0x80021484,0x800214A0,28
LAB_80021520,0x80021520,0x8002153C,28
LAB_80021558,0x80021558,0x80021574,28
LAB_80021574,0x80021574,0x800215D0,92
LAB_80021610,0x80021610,0x80021644,52
LAB_80021644,0x80021644,0x80021678,52
LAB_80021678,0x80021678,0x80021698,32
LAB_80021698,0x80021698,0x800216CC,52
LAB_80021700,0x80021700,0x8002177C,124
LAB_80021794,0x80021794,0x800217B0,28
LAB_80031084,0x80031084,0x800310B0,44
LAB_80021810,0x80021810,0x80021828,24
LAB_80021828,0x80021828,0x80021844,28
LAB_80021844,0x80021844,0x8002185C,24
FUN_80031490,0x80031490,0x8003151C,140
LAB_80021958,0x80021958,0x800219A0,72
LAB_80021948,0x80021948,0x80021958,16
LAB_80021938,0x80021938,0x80021948,16
LAB_80031258,0x80031258,0x8003125C,4
LAB_80031318,0x80031318,0x8003134C,52
FUN_80031874,0x80031874,0x80031878,4
LAB_80031938,0x80031938,0x80031948,16
LAB_80022160,0x80022160,0x80022174,20
LAB_80022174,0x80022174,0x800221AC,56
LAB_80022384,0x80022384,0x800223F0,108
LAB_80022440,0x80022440,0x80022508,200
LAB_80022508,0x80022508,0x8002259C,148
FUN_80032000,0x80032000,0x80032068,104
LAB_80022730,0x80022730,0x8002276C,60
LAB_80022798,0x80022798,0x8002279C,4
FUN_80032068,0x80032068,0x800320C0,88
LAB_80022858,0x80022858,0x80022888,48
FUN_80032114,0x80032114,0x80032128,20
LAB_80022888,0x80022888,0x800228B8,48
FUN_80032160,0x80032160,0x800321A8,72
FUN_80022928,0x80022928,0x80022938,16
LAB_80022960,0x80022960,0x80022988,40
LAB_80032424,0x80032424,0x80032444,32
LAB_80032630,0x80032630,0x80032638,8
LAB_80032694,0x80032694,0x800326AC,24
LAB_80023190,0x80023190,0x8002319C,12
FUN_80032870,0x80032870,0x80032874,4
LAB_80032804,0x80032804,0x80032870,108
LAB_80023060,0x80023060,0x800230D8,120
FUN_80032978,0x80032978,0x800329AC,52
LAB_80023110,0x80023110,0x80023140,48
LAB_80023140,0x80023140,0x80023170,48
LAB_80023170,0x80023170,0x80023190,32
LAB_80033084,0x80033084,0x8003308C,8
